Target,Ligand,Replica,Global_Min_RMSD_A,Global_Min_Rg_A,Global_Min_DeltaG_kJ_mol
JH1,227,1,2.776,20.213,-0.676
JH1,227,2,1.718,20.923,-0.666
JH1,227,3,2.651,20.419,14.018
JH1,299,1,1.430,20.524,6.896
JH1,299,2,1.671,19.993,11.545
JH1,299,3,1.734,20.415,-1.570
JH2,227,1,1.288,19.116,-0.679
JH2,227,2,1.319,19.092,2.071
JH2,227,3,2.111,19.298,4.391
JH2,253,1,1.482,19.280,-1.222
JH2,253,2,1.264,19.130,14.234
JH2,253,3,1.346,19.435,1.475
JH2,306,1,1.517,19.374,8.720
JH2,306,2,1.543,19.236,-2.450
JH2,306,3,1.891,19.150,8.354
